year,city,country,avg_temp
1743,Berlin,Germany,6.33
1744,Berlin,Germany,10.36
1745,Berlin,Germany,1.43
1746,Berlin,Germany,
1747,Berlin,Germany,
1748,Berlin,Germany,
1749,Berlin,Germany,
1750,Berlin,Germany,9.83
1751,Berlin,Germany,9.75
1752,Berlin,Germany,4.84
1753,Berlin,Germany,8.72
1754,Berlin,Germany,8.49
1755,Berlin,Germany,8.26
1756,Berlin,Germany,9.62
1757,Berlin,Germany,9.15
1758,Berlin,Germany,8.25
1759,Berlin,Germany,9.04
1760,Berlin,Germany,8.99
1761,Berlin,Germany,9.47
1762,Berlin,Germany,8.53
1763,Berlin,Germany,8.62
1764,Berlin,Germany,8.91
1765,Berlin,Germany,8.54
1766,Berlin,Germany,8.87
1767,Berlin,Germany,8.14
1768,Berlin,Germany,8.03
1769,Berlin,Germany,8.46
1770,Berlin,Germany,8.50
1771,Berlin,Germany,7.45
1772,Berlin,Germany,9.13
1773,Berlin,Germany,9.52
1774,Berlin,Germany,8.46
1775,Berlin,Germany,10.10
1776,Berlin,Germany,8.36
1777,Berlin,Germany,8.29
1778,Berlin,Germany,9.43
1779,Berlin,Germany,10.47
1780,Berlin,Germany,8.78
1781,Berlin,Germany,9.98
1782,Berlin,Germany,8.61
1783,Berlin,Germany,9.76
1784,Berlin,Germany,7.67
1785,Berlin,Germany,7.42
1786,Berlin,Germany,7.68
1787,Berlin,Germany,9.27
1788,Berlin,Germany,8.33
1789,Berlin,Germany,8.99
1790,Berlin,Germany,9.09
1791,Berlin,Germany,9.55
1792,Berlin,Germany,8.90
1793,Berlin,Germany,9.18
1794,Berlin,Germany,10.02
1795,Berlin,Germany,8.87
1796,Berlin,Germany,9.01
1797,Berlin,Germany,10.07
1798,Berlin,Germany,9.33
1799,Berlin,Germany,6.72
1800,Berlin,Germany,8.60
1801,Berlin,Germany,9.61
1802,Berlin,Germany,9.08
1803,Berlin,Germany,8.02
1804,Berlin,Germany,8.36
1805,Berlin,Germany,7.20
1806,Berlin,Germany,9.67
1807,Berlin,Germany,9.42
1808,Berlin,Germany,8.15
