year,city,country,avg_temp
1832,Guarulhos,Brazil,18.94
1833,Guarulhos,Brazil,19.93
1834,Guarulhos,Brazil,19.21
1835,Guarulhos,Brazil,18.62
1836,Guarulhos,Brazil,18.84
1837,Guarulhos,Brazil,18.28
1838,Guarulhos,Brazil,18.72
1839,Guarulhos,Brazil,18.52
1840,Guarulhos,Brazil,19.20
1841,Guarulhos,Brazil,18.89
1842,Guarulhos,Brazil,19.32
1843,Guarulhos,Brazil,19.46
1844,Guarulhos,Brazil,
1845,Guarulhos,Brazil,
1846,Guarulhos,Brazil,
1847,Guarulhos,Brazil,
1848,Guarulhos,Brazil,
1849,Guarulhos,Brazil,
1850,Guarulhos,Brazil,
1851,Guarulhos,Brazil,19.44
1852,Guarulhos,Brazil,19.60
1853,Guarulhos,Brazil,19.61
1854,Guarulhos,Brazil,19.70
1855,Guarulhos,Brazil,19.70
1856,Guarulhos,Brazil,18.79
1857,Guarulhos,Brazil,19.39
1858,Guarulhos,Brazil,18.39
1859,Guarulhos,Brazil,19.05
1860,Guarulhos,Brazil,19.73
1861,Guarulhos,Brazil,18.99
1862,Guarulhos,Brazil,19.01
1863,Guarulhos,Brazil,18.91
1864,Guarulhos,Brazil,18.99
1865,Guarulhos,Brazil,18.95
1866,Guarulhos,Brazil,19.10
1867,Guarulhos,Brazil,19.21
1868,Guarulhos,Brazil,20.16
1869,Guarulhos,Brazil,20.01
1870,Guarulhos,Brazil,20.03
1871,Guarulhos,Brazil,19.65
1872,Guarulhos,Brazil,19.63
1873,Guarulhos,Brazil,19.84
1874,Guarulhos,Brazil,19.07
1875,Guarulhos,Brazil,18.76
1876,Guarulhos,Brazil,19.00
1877,Guarulhos,Brazil,19.83
1878,Guarulhos,Brazil,20.02
1879,Guarulhos,Brazil,18.78
1880,Guarulhos,Brazil,19.73
1881,Guarulhos,Brazil,19.23
1882,Guarulhos,Brazil,18.62
1883,Guarulhos,Brazil,18.93
1884,Guarulhos,Brazil,18.86
1885,Guarulhos,Brazil,19.80
