country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7,,,,13,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8,29.8,27.7,26.4,31.4,36.3,33.8,32.4,29.8,,20.1
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.44,,7.24,8.2,7.24,,,5.22,4.99,4.15,2.1,,2.14,1.61,,,1.93
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.69,,,,,,,35.6,,,5.57,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,1.38,1.04,1.24,1.26,1.63,1.41,1.66,1.54,1.33,1.35,1.15,1.09,1.11,1.66,1.31,1.03,0.99,0.94,0.72,0.72,1.01,0.75,0.66,0.64,0.82,,,0.59
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,17.4,15.2,14,,12.3,7.61,7.34,6,
Australia,,,,,,,,,,,,,,,,,,,,,0.84,0.94,1,1.11,1.03,0.96,0.97,0.91,0.8,0.88,0.85,0.56,0.46,0.42,0.4,0.33,0.32,0.28,0.24,0.25,0.27,0.22,0.21,0.22,0.24,0.23,0.22,0.19
Austria,,,,,,,,,,,,,,,,,,,,,,,,,3.31,3.4,3.59,3.06,2.8,2.8,2.73,2.57,2.55,2.13,1.02,1.38,1.44,2.35,2.31,2.19,2.16,2.02,1.93,1.84,2.02,1.61,1.51,1.46
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,18.6,16.8,,,,28.8,29.2,29.5,29.7,29.9,29.9,29.5,33.4,33.5
Bahamas,,,,,,,,,,,,,,,,,,,,,,0.47,0.37,0.44,0.4,0.58,0.69,0.2,0.24,0.22,,0.1,0.37,0.18,0.25,,,,0.16,0.28,,0.3,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,0.04,0.6,0.58,0.08,0.57,0.57,0.54,0.54,0.53,0.54,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1,,,,33.8,,,18.4,,21.7,21.7,,,,21.8,3.91,,18.2,,,14.5,11.8
Barbados,,,,,,,,,,,,,,,,,,,,,0.76,0.59,0.1,0.52,0.09,,0.26,,,0.08,0.16,0.08,0.08,,0.08,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03
Belgium,,,,,,,,,,,,,,3.61,4.2,4.05,3.64,3.07,2.78,3.15,2.86,2.35,2.78,2.5,2.38,2.54,2.56,2.33,1.99,2.47,2.09,1.98,1.84,1.68,1.71,1.7,1.54,1.29,1.21,1.25,0.98,1.11,0.84,0.91,0.91,0.89,0.8,0.73
Belize,,,,,,,,,,,,,,,,,,,,,,,,3.04,4.39,3.88,4.03,4.36,4.07,3.38,,,,,,3.93,,,,,,,,,,,4,3.75
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,16.9,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4,54,,,51.8,41.5,41.8,41.1,,38.9,35.6,,
Bolivia,,,,,,,,,,,,,,,,,,,,5.95,4.86,6.03,5.35,7.47,8.1,10.4,10.3,9.34,,25.7,24.4,29.1,27.2,23.6,23.6,25.4,26.6,23.7,19.3,17.7,,18.4,14.4,15.7,17.7,14.4,15.6,14.8
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.73,4.36,5.41,6.75,5.67,5.25,4.67,4.62,3.98,,,3.94
Botswana,,,,,,,,,,,,,,,0.29,,,,,,,,,,3.82,,,,15.8,,17.1,1.33,,2.24,,,3.18,,,5.43,5.7,,,3.78,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,6.13,,7.98,8.05,,7.7,6.89,6.96,6.72,7.21,3.97,5.85,5.82,5.73,5.74,5.55,4.94,4.75,3.95,3.75,,2.69,3.01,2.97,2.75,2.74,2.3,2.39
Brunei,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,0.53,,,0.35
