country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,,,,43.6,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,21.8,21.4,20.2,21.1,20.5,19.1,21.5,21.4,28.4,28.5,27.6,27.8,28.4,40.8,37.6,36,37.3,35.8,36.6,38.8,39.4,39.9,,42.4
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7,,52.1,50.4,,,,,,,58.4,,44.5,25.5,61.6,61.4,58.8
Angola,,,,,,,,,,,,,,,,,,,,,,,66.6,,,,,,,,,,,,54.7,,,,,,40,38.9,,,26.2,,,
Antigua and Barbuda,,,,69.3,67.4,67,69.5,,,,,,,,,,,,,,,,,,,,,,,,,,81.5,81.6,81.6,81.6,81.5,81.6,81.5,,,,,,,,,
Argentina,,,,,,,,,,,,,59.5,58.5,56.6,,,,,,67.6,66.2,66.8,69.4,70.6,72,73.9,73.2,74.1,75.3,76.2,76.9,78.6,76.3,75.6,75.3,75.1,,74.4,75.2,72.3,70.9,72.6,72.7,72.8,,,77.3
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8,,,,,44.5,39,43.5,44,44.4,45,46.7,48.5,48.8,50.6,
Australia,55.8,55.8,56.9,57.1,57.9,59.7,60.3,60.9,62.5,62.2,62.4,62.7,63.7,64.8,65.5,66.9,67.7,68.4,68.5,68.6,69.4,70.7,71.2,71.1,71.5,72.2,72.5,72.8,73.3,73.7,73.5,74.5,74.7,75.2,75,75.3,75.1,75.3,75.1,75.6,75.8,76.3,76.5,76.9,76.2,77.2,77.3,78
Austria,,,,,,,,,,,,,,51.2,52.2,52.6,53.2,53.4,54,54.6,54.9,55.2,56.8,57.5,60.3,60.6,62.3,63.5,64,64,63.9,64.8,65.4,65.6,68.3,67.2,66.6,67.2,68.5,69.7,69.9,69,69.2,69.5,69.4,69.7,70.1,71.2
Azerbaijan,,,,,,,,,,,,,,33.5,33.5,33.6,33.7,33.2,34,35.5,31.1,32.2,31.1,34,35.4,35.8,37.7,42.3,46.6,46.5,48.1,49.2,48.3,48.9,48.6,48.6,48.1,48.8,48.3,49.2,48,48,48.1,48.5,48.9,49.6,49.3,49.3
